1,3,5,0.73,85692
1,3,6,0.70,85852
1,3,7,0.70,86336
1,3,8,0.71,87748
1,3,9,0.72,93896
1,3,10,0.75,118664
1,3,11,0.94,216852
1,3,12,1.32,610488
1,3,13,3.13,2183288
1,3,14,10.97,8476120
1,5,5,0.77,86256
1,5,6,0.76,86020
1,5,7,0.75,86724
1,5,8,0.75,87728
1,5,9,0.77,94416
1,5,10,0.82,118484
1,5,11,0.99,217036
1,5,12,1.59,611032
1,5,13,4.25,2184604
1,5,14,16.12,8477452
1,7,5,0.86,86588
1,7,6,0.84,86676
1,7,7,0.85,87076
1,7,8,0.85,88292
1,7,9,0.88,94668
1,7,10,0.93,119144
1,7,11,1.18,217912
1,7,12,2.15,611612
1,7,13,6.69,2185272
1,7,14,28.20,8478852
1,9,5,1.01,87200
1,9,6,0.98,87396
1,9,7,0.99,87736
1,9,8,1.02,88576
1,9,9,1.06,94748
1,9,10,1.14,119980
1,9,11,1.49,218696
1,9,12,3.00,612448
1,9,13,10.43,2186584
1,9,14,41.48,8479980
1,11,5,1.23,88188
1,11,6,1.24,87768
1,11,7,1.25,88408
1,11,8,1.25,89520
1,11,9,1.28,96008
1,11,10,1.41,121128
1,11,11,1.91,219588
1,11,12,4.30,613572
1,11,13,15.36,2187964
1,11,14,59.82,8481928
2,3,5,0.72,86056
2,3,6,0.72,86300
2,3,7,0.71,86860
2,3,8,0.71,89780
2,3,9,0.73,102428
2,3,10,0.78,151428
2,3,11,1.02,348304
2,3,12,1.94,1134540
2,3,13,5.53,4281384
2,3,14,20.64,16865272
2,5,5,0.78,86420
2,5,6,0.75,86488
2,5,7,0.75,87148
2,5,8,0.77,89768
2,5,9,0.79,102628
2,5,10,0.87,151908
2,5,11,1.18,348668
2,5,12,2.39,1135744
2,5,13,7.71,4282784
2,5,14,31.36,16868000
2,7,5,0.86,86620
2,7,6,0.90,86840
2,7,7,0.85,87080
2,7,8,0.86,90464
2,7,9,0.90,102996
2,7,10,1.02,151856
2,7,11,1.52,349392
2,7,12,3.38,1136272
2,7,13,12.44,4284168
2,7,14,55.45,16870308
2,9,5,1.01,87380
2,9,6,0.99,87532
2,9,7,1.00,87992
2,9,8,1.03,91144
2,9,9,1.07,103100
2,9,10,1.25,153148
2,9,11,1.93,350112
2,9,12,4.93,1137384
2,9,13,19.91,4285840
2,9,14,81.92,16873148
2,11,5,1.23,88196
2,11,6,1.24,88000
2,11,7,1.24,88956
2,11,8,1.27,91528
2,11,9,1.33,104548
2,11,10,1.58,154176
2,11,11,2.56,351356
2,11,12,7.37,1139060
2,11,13,29.51,4287260
2,11,14,118.98,16876188
3,3,5,0.73,86196
3,3,6,0.70,86420
3,3,7,0.71,87932
3,3,8,0.72,94128
3,3,9,0.75,118772
3,3,10,0.87,216672
3,3,11,1.33,610592
3,3,12,3.10,2184180
3,3,13,10.29,8476784
3,3,14,40.44,33645044
3,5,5,0.77,86416
3,5,6,0.75,86628
3,5,7,0.76,88076
3,5,8,0.77,94428
3,5,9,0.82,118980
3,5,10,0.99,217564
3,5,11,1.60,611276
3,5,12,3.98,2185420
3,5,13,14.66,8479020
3,5,14,62.39,33649428
3,7,5,0.86,86688
3,7,6,0.85,86628
3,7,7,0.86,88452
3,7,8,0.87,94748
3,7,9,0.93,119048
3,7,10,1.19,218248
3,7,11,2.14,612368
3,7,12,5.87,2186900
3,7,13,24.12,8481352
3,7,14,110.28,33653828
3,9,5,1.02,86864
3,9,6,0.99,87620
3,9,7,1.10,88852
3,9,8,1.04,95380
3,9,9,1.13,120272
3,9,10,1.49,219128
3,9,11,2.83,613340
3,9,12,8.87,2188392
3,9,13,38.74,8484260
3,9,14,162.43,33658380
3,11,5,1.25,88224
3,11,6,1.24,88552
3,11,7,1.24,89312
3,11,8,1.28,96308
3,11,9,1.41,121212
3,11,10,1.91,220300
3,11,11,3.84,614704
3,11,12,13.49,2190240
3,11,13,57.82,8487088
3,11,14,235.01,33663636
4,3,5,0.73,85876
4,3,6,0.71,86940
4,3,7,0.71,89956
4,3,8,0.73,102144
4,3,9,0.79,151068
4,3,10,1.03,348536
4,3,11,1.93,1135348
4,3,12,5.54,4281864
4,3,13,19.87,16867376
4,3,14,-1,-1
4,5,5,0.78,86500
4,5,6,0.75,87216
4,5,7,0.76,90316
4,5,8,0.79,102692
4,5,9,0.87,152028
4,5,10,1.20,349288
4,5,11,2.42,1136456
4,5,12,7.16,4284672
4,5,13,28.52,16871364
4,5,14,-1,-1
4,7,5,0.87,86880
4,7,6,0.85,87400
4,7,7,0.86,90572
4,7,8,0.89,103232
4,7,9,1.02,152588
4,7,10,1.53,350144
4,7,11,3.36,1138052
4,7,12,10.84,4286552
4,7,13,47.17,16876256
4,7,14,-1,-1
4,9,5,1.01,87420
4,9,6,1.00,88176
4,9,7,1.03,91296
4,9,8,1.07,103412
4,9,9,1.25,153060
4,9,10,1.95,351076
4,9,11,4.64,1139660
4,9,12,16.64,4289124
4,9,13,76.63,16880944
4,9,14,-1,-1
4,11,5,1.24,88296
4,11,6,1.24,89044
4,11,7,1.26,92356
4,11,8,1.35,104460
4,11,9,1.59,154788
4,11,10,2.57,352584
4,11,11,6.44,1141400
4,11,12,25.52,4292644
4,11,13,114.37,16885456
4,11,14,-1,-1
